file,BIC
Inference_4_1234.out,19059.6
Inference_4_2345.out,19059.6
Inference_4_3456.out,19059.6
Inference_4_4567.out,19059.6
Inference_4_5678.out,19059.6
Inference_5_1234.out,17137.7
Inference_5_2345.out,17133.6
Inference_5_3456.out,16250.9
Inference_5_4567.out,17204.2
Inference_5_5678.out,17137.6
Inference_6_1234.out,16042.8
Inference_6_2345.out,14977.8
Inference_6_3456.out,14290.2
Inference_6_4567.out,16137.9
Inference_6_5678.out,14290.2
Inference_7_1234.out,13278.8
Inference_7_2345.out,13633.8
Inference_7_3456.out,14366.2
Inference_7_4567.out,12642.3
Inference_7_5678.out,12793.3
Inference_8_1234.out,12503.7
Inference_8_2345.out,12793.8
Inference_8_3456.out,12168.9
Inference_8_4567.out,12616.5
Inference_8_5678.out,12030.4
Inference_9_1234.out,11187.6
Inference_9_2345.out,11955.1
Inference_9_3456.out,11543.6
Inference_9_4567.out,11012.1
Inference_9_5678.out,13314.8
Inference_10_1234.out,10725.9
Inference_10_2345.out,11563.8
Inference_10_3456.out,11004.5
Inference_10_4567.out,11462.3
Inference_10_5678.out,12267.9
Inference_11_1234.out,11430.5
Inference_11_2345.out,11234.8
Inference_11_3456.out,10944.3
Inference_11_4567.out,10808
Inference_11_5678.out,10575.6
Inference_12_1234.out,10941.7
Inference_12_2345.out,10611.7
Inference_12_3456.out,10262.1
Inference_12_4567.out,10105.6
Inference_12_5678.out,11411.3
Inference_13_1234.out,11784.8
Inference_13_2345.out,9898.87
Inference_13_3456.out,11456.1
Inference_13_4567.out,10807.2
Inference_13_5678.out,10328.6
Inference_14_1234.out,10228.8
Inference_14_2345.out,10325.2
Inference_14_3456.out,10120.6
Inference_14_4567.out,11532.9
Inference_14_5678.out,9647.19
Inference_15_1234.out,11535.5
Inference_15_2345.out,11012.8
Inference_15_3456.out,10579.3
Inference_15_4567.out,10355.6
Inference_15_5678.out,9836.18
Inference_16_1234.out,9905.72
Inference_16_2345.out,11200.5
Inference_16_3456.out,10978.7
Inference_16_4567.out,10193.8
Inference_16_5678.out,15072.4
Inference_17_1234.out,10262.9
Inference_17_2345.out,10330.2
Inference_17_3456.out,10599.8
Inference_17_4567.out,12179.8
Inference_17_5678.out,10431.1
Inference_18_1234.out,10682.2
Inference_18_2345.out,9834.3
Inference_18_3456.out,10159.4
Inference_18_4567.out,9841.03
Inference_18_5678.out,9871.58
Inference_19_1234.out,9768.54
Inference_19_2345.out,10799.6
Inference_19_3456.out,10025.9
Inference_19_4567.out,9797.57
Inference_19_5678.out,9626.84
